table_name	index_name	index_type	unique	columns	source_file	status	notes
llx_societe	idx_societe_user_creat	INDEX	N	fk_user_creat	htdocs/install/mysql/tables/llx_societe.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_societe	idx_societe_user_modif	INDEX	N	fk_user_modif	htdocs/install/mysql/tables/llx_societe.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_societe	PRIMARY	PRIMARY KEY	Y	rowid	htdocs/install/mysql/tables/llx_societe.sql	启用	主键在建表文件中定义
llx_societe	uk_societe_barcode	INDEX	Y	barcode, fk_barcode_type, entity	htdocs/install/mysql/tables/llx_societe.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_societe	uk_societe_code_client	INDEX	Y	code_client, entity	htdocs/install/mysql/tables/llx_societe.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_societe	uk_societe_code_fournisseur	INDEX	Y	code_fournisseur, entity	htdocs/install/mysql/tables/llx_societe.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_societe	uk_societe_prefix_comm	INDEX	Y	prefix_comm, entity	htdocs/install/mysql/tables/llx_societe.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_socpeople_extrafields	PRIMARY	PRIMARY KEY	Y	rowid	htdocs/install/mysql/tables/llx_socpeople_extrafields.sql	启用	主键在建表文件中定义
llx_socpeople_extrafields	uk_socpeople_extrafields	INDEX	Y	fk_object	htdocs/install/mysql/tables/llx_socpeople_extrafields.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_socpeople	idx_socpeople_fk_soc	INDEX	N	fk_soc	htdocs/install/mysql/tables/llx_socpeople.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_socpeople	idx_socpeople_fk_user_creat	INDEX	N	fk_user_creat	htdocs/install/mysql/tables/llx_socpeople.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_socpeople	idx_socpeople_lastname	INDEX	N	lastname	htdocs/install/mysql/tables/llx_socpeople.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_socpeople	PRIMARY	PRIMARY KEY	Y	rowid	htdocs/install/mysql/tables/llx_socpeople.sql	启用	主键在建表文件中定义
llx_stock_mouvement_extrafields	PRIMARY	PRIMARY KEY	Y	rowid	htdocs/install/mysql/tables/llx_stock_mouvement_extrafields.sql	启用	主键在建表文件中定义
llx_stock_mouvement_extrafields	uk_stock_mouvement_extrafields	INDEX	Y	fk_object	htdocs/install/mysql/tables/llx_stock_mouvement_extrafields.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_stock_mouvement	idx_stock_mouvement_batch_entrepot_type_datem	INDEX	N	batch, fk_entrepot, type_mouvement, datem	htdocs/install/mysql/tables/llx_stock_mouvement.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_stock_mouvement	idx_stock_mouvement_fk_entrepot	INDEX	N	fk_entrepot	htdocs/install/mysql/tables/llx_stock_mouvement.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_stock_mouvement	idx_stock_mouvement_fk_product	INDEX	N	fk_product	htdocs/install/mysql/tables/llx_stock_mouvement.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_stock_mouvement	PRIMARY	PRIMARY KEY	Y	rowid	htdocs/install/mysql/tables/llx_stock_mouvement.sql	启用	主键在建表文件中定义
llx_stocktransfer_stocktransfer_extrafields	idx_fk_object	INDEX	N	fk_object	htdocs/install/mysql/tables/llx_stocktransfer_stocktransfer_extrafields-stocktransfer.key.sql	启用	索引由 .key.sql 安装脚本创建
